,Unnamed: 0,resource_hdx_id,gender,age_range,disabled_marker,sector_code,population_group,population_status,population,reference_period_start,reference_period_end,sector_name
272,272,8e3931a5-452b-4583-9d02-2247a34e397b,all,ALL,all,Intersectoral,all,INN,2293151,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
546,546,8e3931a5-452b-4583-9d02-2247a34e397b,all,ALL,all,Intersectoral,all,INN,172871,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
826,826,8e3931a5-452b-4583-9d02-2247a34e397b,all,ALL,all,Intersectoral,all,INN,59352,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
